Timestamp,Name of Food Retailer,Address,Date Assessed,Type of Store,What type of Specialty Food Store?,EBT Accepted?,Number of Locations (chain?),Median Price of a Dozen Eggs,Median Price of a Loaf of Bread,Median Price of a Gallon of Milk,Milk Standardized_Gallon,Median Price of Oranges,Orange Standardized_lbs,Median Price of Organic Oranges,Organic Oranges Standardized_lbs,Median Price of Avocados,Standardized Avocado_each,Median Price of Organic Avocados,Standardized Organic Avocado_each,Median Price of Carrots,Standardized Carrots_lbs,Median Price of Organic Carrots,Standardized Organic Carrots_lbs,Median Price of Broccoli,Standardized Brocolli_lbs,Median Price of Organic Broccoli,Standardized Organic Brocolli_lbs,Is there signage in other languages than English?,"If so, what languages?",Access Notes,Is there fresh produce available?,What percentage of the store is produce?,Is there organic produce available?,Is there local produce available?,How many types of fresh produce are available?,Is there an ethnic section?,Are there options besides national name brand ethnic foods? ,What ethnic food nationalities are available?,Selection Notes,Is there signage or visible documentation of environmental work or actions?,"If so, what kind of environmental work?",Is there signage or visible documentation of social justice work or actions?,"If so, what kind of social justice work?",General Notes
1/27/2022 13:01:04,Arizmendi Bakery & Pizzeria,"1272 Valencia St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Bakery,No,4,,4.5,,,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,"COVID-19 resources, worker coop signage",
1/27/2022 13:02:57,Mr. Liquor,"1200 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,Yes,Plastic Revolution sign,Yes,National Political Activism,
1/27/2022 13:04:57,Golden Eagle Market,"896 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,5.99,5.75 (half),11.5,0.75 (each),1.5,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,7,No,,,,No,,Yes,Large BLM Sign,
1/28/2022 11:06:00,Rhea’s Market & Deli,"800 Valencia St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,3.69,,4.69 (half),9.38,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,
1/28/2022 11:07:37,23rd & Guerrero Liquor Store,"3558 23rd St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,4.79,,3.79 (half),7.58,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,
1/28/2022 11:09:51,Guerrero Hill Market,"3398 22nd St #3067, San Francisco, CA 94110",1/26/2022,Convenience Store,,Yes,1,4.99,6.49,6.99 (half),13.98,1.00 (each),2,,,2.50 (each),2.5,,,,,,,,,,,No,,,Yes,<10%,No,Can't tell...,11,No,,,,No,,No,,Clerk knew costumers
1/28/2022 11:11:27,F & G Market,"3698 20th St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,5.99,5.75 (half),11.5,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,No,,Clerk knew costumers
1/28/2022 11:13:03,Guerrero Market and Deli,"701 Guerrero St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,4.99,,4.50 (half),9,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,Community hangout (looks like)
1/28/2022 11:15:16,Dolores Outpost,"698 Guerrero St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Specialty Alcohols,No,1,,,6.00 (half),12,,,,,,,,,,,,,,,,,Yes,Japanese,,No,0,No,No,0,Yes,Yes,Japanese,,No,,No,,Specializes in alcohol
1/28/2022 12:30:56,Walgreens,"2690 Mission St, San Francisco, CA 94110",1/28/2022,Supermarket,,Yes,"9,021",2.79,3.29,4.69,4.69,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,1,No,,,,No,,No,,
1/28/2022 12:43:01,23rd & Mission Produce,"2700 Mission St, San Francisco, CA 94110",1/28/2022,Grocery Store,,Yes,1,5.99,6.5,7.99,7.99,1.99 (/lb),1.99,,,3.14,3.14,,,.99 (/lb),0.99,,,1.99 (/lb),1.99,,,Yes,Spanish,Spanish speaking; large WE ACCEPT EBT sign,Yes,>50%,Yes,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,"COVID-19 resources (Spanish translation), community health resources (Spanish Translation)",
1/28/2022 12:48:54,That’s It Market,"2699 Mission St, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken,No,0,No,No,0,No,,,,Yes,Recycling Program,Yes,"Community health signage, COVID-19 resources (Spanish translation)",Mostly alcohol and deli (tortas)
1/28/2022 13:01:29,Casa Maria Produce Market,"1201 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Grocery Store,,Yes,1,5.04,1.99,4.99,4.99,.99 (/lb),0.99,,,2.24 (each),2.24,,,.99 (/lb),0.99,,,1.99 (/lb),1.99,,,Yes,Spanish,Baguette and rolls as bread options; Spanish spoken,Yes,10-25%,No,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,Bring own bags signage,Yes,COVID-19 resources (Spanish translation),
1/28/2022 13:20:40,Grocery Outlet,"1245 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Supermarket,,Yes,401,3.5,3.99,3.79,3.79,1.16 (/lb),1.16,,,.55 (each),0.55,,,1.74 (per bag),1.74,,,1.99 (/lb),1.99,,,No,,,Yes,10-25%,Yes,No,50+,Yes,No,Hispanic/Latinx,,Yes,Recycling Program,No,,
1/28/2022 14:56:40,Ed & Danny’s Market & Liquor ,"999 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,5.99,5.49,5.99,5.99,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,2,No,,,,Yes,Recycling Program,No,,
1/28/2022 15:00:16,Kahnfections,"3321 20th St, San Francisco, CA 94110",1/28/2022,Specialty Food Store,Bakery,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,Pastry bakery (with small baguettes),No,,No,,
1/28/2022 15:27:36,Joey & Pat’s Bakery & Coffee,"2499 Folsom St, San Francisco, CA 94110",1/28/2022,Specialty Food Store,Bakery,No,1,,,7,7,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken,No,0,No,No,0,Yes,Yes,Hispanic/Latinx,Mexican Bakery Items,No,,No,,All types of Mexican breads and pastries
1/28/2022 15:33:41,Isaac’s Market,"2601 Folsom St, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,6.49,4.49,5.79 (half),11.58,.65 (each),1.3,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,Can't tell...,1,No,,,,No,,No,,
1/31/2022 21:50:00,24 BART Liquor Store,"3347 24th St, San Francisco, CA 94110",1/31/2022,Convenience Store,,No,1,,,5.99,5.99,None,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,2,No,,,,No,,Yes,COVID-19 resources (Spanish translation),
2/9/2022 13:16:56,New Star Market Liquor & Deli,"269 14th St, San Francisco, CA 94103",2/9/2022,Convenience Store,,Yes,1,4.5,,3.75 (half),7.5,None,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,No,,No,,Also a Deli
2/9/2022 13:25:18,S & M Liquor & Market,"1939 Mission St, San Francisco, CA 94103",2/9/2022,Convenience Store,,Yes,1,3.99,,5.99,5.99,None,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,Yes,"Local Political Activism, COVID-19 resources",
2/9/2022 13:32:42,Hwa Lei Market,"2970 16th St, San Francisco, CA 94103",2/9/2022,Grocery Store,,Yes,1,3.99,,,,.99 (/lbs),0,,,1.39 (each),1.39,,,.89 (/lbs),0.89,,,1.49 (/lbs),1.49,,,Yes,"Spanish, Chinese",Predominately an ethnic (Chinese/Asian) store,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Chinese, Southeast Asian",,Yes,Recycling Program,Yes,Chinese information signs (presume community action),Clerk knew costumers; multiple Asian languages spoken
2/9/2022 13:45:24,Mi Tierra Market,"2023 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.49,,6.79,6.79,.50 (/lbs),0.5,,,1.49 (each),1.49,,,.79 (/lbs),0.79,,,1.99 (/lbs),1.99,,,Yes,Spanish,Spoken Spanish,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,"EBT Resources (Spanish Translation), COVID-19 resources (Spanish translation)",
2/9/2022 13:53:17,La Canasta Produce,"2097 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,,5.99,5.99,1.75 (/lbs),1.75,,,3.44 (each),3.44,,,.99 (/lbs),0.99,,,1.49 (/lbs),1.49,,,Yes,Spanish,Hispanic Bread Selection,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,anti-food waste program,Yes,COVID-19 resources (Spanish translation),Spanish spoken
2/9/2022 14:06:59,Mi Ranchito Market & Produce,"2169 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,2.99,3.99,5.99,5.99,.75 (/lbs),0.75,,,1.99 (each),1.99,,,.79 (/lbs),0.79,,,2.29 (/lbs),2.29,,,Yes,Spanish,Lots of Hispanic Breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,No,,
2/9/2022 14:14:33,Jasmine Market,"2397 Mission St, San Francisco, CA 94110",2/8/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,Only really sell alcohol and a few other goods,No,0,No,No,0,No,,,,No,,No,,
2/9/2022 14:20:38,Mike’s Groceries & Liquors,"2499 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.49,5.59,6.49,6.49,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,No,,,,No,,No,,
2/9/2022 14:28:51,Evergreen Market,"2539 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.49,4.99,5.59,5.59,1.99 (/lbs),1.99,,,1.49 (each),1.49,,,.99 (/lbs),0.99,,,2.99 (/lbs),2.99,,,Yes,Spanish,Lots of Hispanic Bread,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,No,,
2/9/2022 14:38:22,Lucky Pork Market,"2659 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,5.49,,5.99,5.99,1.19 (/lbs),1.19,,,1.39 (each),1.39,,,.89 (/lbs),0.89,,,2.39 (/lbs),2.39,,,Yes,Spanish,Lots of Hispanic breads; Spanish spoken,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,"Bring own bags signage, anti-food waste program ",Yes,COVID-19 resources (Spanish translation),
2/9/2022 14:48:39,Mi Pueblito Market,"2763 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,3.99,5.99,5.99,0.89,0.89,,,1.40 (each),1.4,,,.69 (/lbs),0.69,,,1.99 (/lbs),1.99,,,Yes,Spanish,Lots of Hispanic bread,Yes,25-50%,Maybe,Yes,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),
2/9/2022 14:55:27,Golden Market,"2899 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,5.99,,3.00 (half),6,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (multiple translations),
2/9/2022 15:03:21,Casa Guadalupe,"2909-11 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,2,4.99,4.74,8.99,8.99,.99 (/lbs),0.99,,,1.6,1.6,,,1.29,1.29,1.29,1.29,2.99 (/lbs),2.99,2.99 (/lbs),2.99,Yes,Spanish,Hispanic breads,Yes,25-50%,Yes,Yes,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),
2/9/2022 15:12:29,Casa Guadalupe Supermarket 3,"2999 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,2,4.99,3.69,6.99,6.99,1.49 (/lbs),1.49,,,1.99 (each),1.99,,,.69 (/lbs),0.69,,,1.99 (/lbs),1.99,,,Yes,Spanish,Hispanic Breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),
2/9/2022 15:18:08,Stop & Shop Market,"3000 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.99,4,6,6,,,,,,,,,,,,,,,,,No,,Arabic Spoken,Yes,<10%,No,No,1,No,,,,No,,No,,
2/9/2022 15:25:15,Samiramis Imports,"2990 Mission St, San Francisco, CA 94110",2/9/2022,Specialty Food Store,Ethnic Store,Yes,1,4.49,,7.49 (half),14.98,.99 (/lbs),0.99,,,1.49 (each),1.49,,,,,,,,,,,Yes,"Spanish, Arabic",Middle eastern breads,Yes,<10%,Maybe,Can't tell...,30,Yes,Yes,"Arabic, Middle Eastern",,No,,Yes,COVID-19 resources (language translations),Bread and dairy different (naan and yogurt drinks)
2/9/2022 15:36:15,La Loma Produce,"2840 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,5.39,,6.49,6.49,1.29 (/lbs),1.29,,,1.49,1.49,,,.79 (/lbs),0.79,,,2.99 (/lbs),2.99,,,Yes,Spanish,Hispanic Breads,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),Spanish spoken (almost solely)
2/9/2022 16:23:50,City Discount Market,"2298 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,4.49,5,5,.99 (/lbs),0.99,,,2.00 (each),2,,,,,1.99 (/lbs),1.99,3.99 (/lbs),3.99,,,Yes,Spanish,,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,Hispanic Breads,Yes,anti-food waste program,Yes,Community connection opportunities (in Spanish),
2/9/2022 16:27:28,George’s Market,"2268 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,5,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,Yes,Local Political Activism,
2/9/2022 16:37:49,Duc Loi Supermarket,"2200 Mission St, San Francisco, CA 94110",2/9/2022,Supermarket,,Yes,1,4.39,6.49,6.34,6.34,,,1.29 (/lbs),1.29,,,2.99 (each),2.99,,,3.89 (per bunch),3.89,,,4.99 (per bunch),4.99,Yes,Chinese,,Yes,10-25%,Yes,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Chinese, Indian, Japanese, Southeast Asian",,No,,Yes,COVID-19 resources (community and general),
2/9/2022 16:45:56,Mission Grocery & Liquor,"2130 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.99,3.5,3.99 (half),7.98,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,Yes,COVID-19 resources,
2/9/2022 16:57:16,Casa Latina Super Market,"3020 16th St, San Francisco, CA 94103",2/9/2022,Grocery Store,,Yes,1,3.49,3.89,5.99,5.99,0.99 (/lbs),0.99,,,2.24 (each),2.24,,,.79 (/lbs),0.79,,,2.49 (/lbs),2.49,,,Yes,Spanish,Hispanic breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Asian",,No,,Yes,COVID-19 resources,
2/16/2022 12:02:52,Safeway,"2300 16th St Unit 203, San Francisco, CA 94103",2/16/2022,Supermarket,,Yes,904,5.49,3.99,5.79,5.79,1.49 (/lbs),1.49,2.49 (/lbs),2.49,2.50 (each),2.5,2.37 (each),2.37,.99 (/lbs),0.99,1.50 (/lbs),1.5,2.99 (/lbs),2.99,3.49 (per crown),3.49,No,,,Yes,<10%,Yes,Yes,50+,Yes,No,"Hispanic/Latinx, Asian",,Yes,"Organic Signage, Sustainable Signage",No,,
2/16/2022 12:24:42,New Hampshire Market,"2701 20th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,4.99,,5.69,5.69,2.00 (each),4,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,4,No,,,,Yes,Recycling Program,Yes,COVID-19 resources (Spanish translation),
2/16/2022 12:41:09,Fresh Start #1,"2633 23rd St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4,3,5,5,.57 (each),1.14,,,1.50 (each),1.5,,,1.00 (per small bag),1,,,3.00 (per bag),3,,,Yes,Spanish,,Yes,25-50%,Maybe,Can't tell...,39,No,,,,No,,Yes,WIC Signage,"Special store designed for WIC (women, infants & children) to have access to food"
2/16/2022 12:51:24,Walgreens,"1189 Potrero Ave, San Francisco, CA 94110",2/16/2022,Supermarket,,Yes,"9,021",2.79,3.29,4.69,4.69,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,No,,
2/16/2022 12:56:42,N & V Liquor & Grocery,"2702 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,4,,5.5,5.5,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources (Spanish translation),
2/16/2022 13:02:12,Tony’s Market & Liquor,"2751 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,5.5,6.5,3.99 (half),7.98,,,,,,,3.00 (each),3,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,No,,,,No,,Yes,COVID-19 resources (Spanish translation),
2/16/2022 13:07:52,Ricci’s Market,"2790 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.99,4.99,5.99,5.99,,,,,2.49 (each),2.49,,,,,,,,,,,Yes,Spanish,,Yes,<10%,Maybe,Can't tell...,14,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),
2/16/2022 13:16:18,Five Markets,"2824 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.99,6.89,8.99,8.99,1.79 (/lbs),1.79,,,2.49 (each),2.49,2.49 (each),2.49,2.99 (/lbs),2.99,,,3.99 (/lbs),3.99,,,Yes,Spanish,,Yes,10-25%,Yes,Can't tell...,33,No,,,,Yes,"Organic Signage, Sustainable Signage",Yes,"Bus routes, local resources, equity posters",
2/16/2022 13:22:28,Samy’s Liquors & Groceries,"2847 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,3.99,3,5,5,1.00 (each),2,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,5,No,,,,Yes,Recycling Program,Yes,COVID-19 resources (Spanish translation),
2/16/2022 13:27:35,La Palma Mexicatessen,"2884 24th St, San Francisco, CA 94110",2/16/2022,Specialty Food Store,Ethnic store,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,,,0,Yes,Yes,Hispanic/Latinx,,No,,No,,"Makes tortillas, salsas, chips, meats, etc.

Super super busy at 1:26pm on Wed"
2/16/2022 13:41:45,Casa Lucas Market,"2934 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.79,5.19,5.99,5.99,1.54 (/lbs),1.54,1.99 (/lbs),1.99,1.84 (each),1.84,2.49 (each),2.49,.99 (/lbs),0.99,1.49 (/lbs),1.49,2.24 (per bunch),2.24,4.99 (per bunch),4.99,Yes,Spanish,Lots of Hispanic Breads,Yes,>50%,Yes,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,Community Events,Spanish spoken
2/16/2022 13:44:26,GGP Market,"2948 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,Yes,"Crime information, community engagement",
2/16/2022 13:55:57,El Chico Produce Market 4,"2965 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.19,3.89,6.49,6.49,1.29 (/lbs),1.29,,,1.49 (each),1.49,,,.99 (/lbs),0.99,,,1.99 (per bunch),1.99,,,Yes,Spanish,,Yes,>50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,Community Events,WIC accepted
2/16/2022 14:36:30,Maurice’s Corner Liquor,"3046 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,,,5,5,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,No,,
2/16/2022 14:41:36,W-K Market,"3098 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,4.99,3.99,5.99,5.99,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,1,No,,,,No,,No,,
2/16/2022 14:44:55,George’s Market,"3149 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,Yes,Recycling Program,Yes,COVID-19 resources (Spanish translation),
2/16/2022 15:08:28,Jump Start Deli and Grocery,"1192 Guerrero St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,5.99,,6.99,6.99,1.00 (each),2,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,No,,No,,
2/16/2022 15:18:44,26th & Guerrero Market,"1400 Guerrero St, San Francisco, CA 94110",2/16/2022,Grocery Store,,No,1,5.24,7.49,6.89,6.89,3.49(/lbs),3.49,3.49 (/lbs),3.49,3.29 (each),3.29,3.29 (each),3.29,1.49 (/lbs),1.49,1.49 (/lbs),1.49,3.99 (per bunch),3.99 (per bunch),3.99 (per bunch),3.99,No,,,Yes,25-50%,Yes,Can't tell...,50,No,,,,Yes,Recycling Program,No,,
2/16/2022 15:39:43,Vics Grocery,"3300 26th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,3.99,,5.39,5.39,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,Yes,"Anti-Asian Discrimination Sign, Local Political Activism",
2/16/2022 15:44:20,San Fran Market,"3353 26th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,,4,6,6,,,,,,,,,,,,,,,,,Yes,"Spanish, Chinese",,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources,
2/16/2022 15:53:42,Rubins Market,"2997 Folsom St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,4.49,2.75,5,5,,,,,,,,,,,,,,,,,No,,,No,0,,,0,No,,,,No,,Yes,COVID-19 resources,
2/16/2022 16:00:47,Ray’s Market & Deli,"2896-2898 Folsom St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,5.49,4.99,5.99,5.99,1.99 (/lbs),1.99,,,1.99 (each),1.99,,,,,,,,,,,No,,,Yes,10-25%,Yes,Can't tell...,29,No,,,,Yes,"Recycling Program, anti-food waste program ",No,,
2/16/2022 16:11:15,Mission Groceteria,"2950 23rd St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,5.49,5.5,5.99,5.99,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources (Spanish translation),
